"status","network","netmask","nexthop","metric","locprf","weight","path","origin"
"*","1.0.44.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.44.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.45.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.45.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.46.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.46.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.47.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.47.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.48.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.48.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.64.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 2516 7670 18144","i"
"*>","1.0.64.0","18","200.219.145.23",NA,NA,0,"53242 12956 2516 7670 18144","i"
"*","1.0.128.0","17","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 38040 9737","i"
"*>","1.0.128.0","17","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.0.128.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 174 38040 9737","i"
"*>","1.0.128.0","18","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.0.129.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 9737 23969","i"
"*>","1.0.129.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4651 9737 23969","i"
"*","1.0.138.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 9737 23969","i"
"*>","1.0.138.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4651 9737 23969","i"
"*","1.0.142.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 9737 23969","i"
"*>","1.0.142.0","23","200.219.145.23",NA,NA,0,"53242 12956 6453 4651 9737 23969","i"
"*","1.0.160.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 38040 9737","i"
"*>","1.0.160.0","19","200.219.145.23",NA,NA,0,"53242 12956 2914 38040 9737","i"
"*","1.0.192.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 174 38040 9737","i"
"*>","1.0.192.0","18","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.0.208.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 9737 23969","i"
"*>","1.0.208.0","22","200.219.145.23",NA,NA,0,"53242 12956 6453 4651 9737 23969","i"
"*","1.0.212.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 9737 23969","i"
"*>","1.0.212.0","23","200.219.145.23",NA,NA,0,"53242 12956 6453 4651 9737 23969","i"
"*","1.0.224.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 174 38040 9737","i"
"*>","1.0.224.0","19","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.1.1.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 15169","i"
"*>","1.1.1.0","24","200.219.145.23",NA,NA,0,"53242 7738 15169","i"
"*","1.1.32.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.1.32.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.1.33.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.1.33.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.1.34.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.1.34.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.1.35.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.1.35.0","24","200.219.145.23",NA,NA,0,"53242 12956 3257 9304 17408 58730","i"
"*","1.1.45.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.1.45.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.1.64.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.1.64.0","19","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.117.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.117.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.118.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.118.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.119.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.119.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.120.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.120.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.121.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.121.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.122.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.122.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.123.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.123.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.124.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.124.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.125.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 2519","i"
"*>","1.1.125.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.126.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 2519","i"
"*>","1.1.126.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.127.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.1.127.0","24","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.1.128.0","17","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 38040 9737","i"
"*>","1.1.128.0","17","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.2.0.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.2.0.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.2.1.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.2.1.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.2.3.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 15169","i"
"*>","1.2.3.0","24","200.219.145.23",NA,NA,0,"53242 7738 15169","i"
"*","1.2.4.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 4641 24151","i"
"*","1.2.4.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 20388 7497 4641 24151","i"
"*>","1.2.4.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 24151","i"
"*","1.2.16.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 18046","i"
"*>","1.2.16.0","24","200.219.145.23",NA,NA,0,"53242 12956 6939 10026 18046","i"
"*","1.2.128.0","17","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 38040 9737","i"
"*>","1.2.128.0","17","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.2.128.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 7018 38040 9737","i"
"*>","1.2.128.0","18","200.219.145.23",NA,NA,0,"53242 12956 7018 38040 9737","i"
"*","1.2.128.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 701 38040 9737","i"
"*>","1.2.128.0","19","200.219.145.23",NA,NA,0,"53242 7738 701 38040 9737","i"
"*","1.2.160.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 38040 9737","i"
"*>","1.2.160.0","19","200.219.145.23",NA,NA,0,"53242 12956 2914 38040 9737","i"
"*","1.3.0.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 18046","i"
"*>","1.3.0.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 10026 18046","i"
"*","1.3.10.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 24155","i"
"*>","1.3.10.0","24","200.219.145.23",NA,NA,0,"53242 12956 2914 24155","i"
"*","1.3.11.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 24155","i"
"*>","1.3.11.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.3.12.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 24155","i"
"*>","1.3.12.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.3.30.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.30.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.3.31.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.31.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.3.32.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.32.0","20","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.3.48.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.48.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.3.49.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.49.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.3.50.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.3.50.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.4.128.0","17","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 38040 9737","i"
"*>","1.4.128.0","17","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.4.128.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 7018 38040 9737","i"
"*>","1.4.128.0","18","200.219.145.23",NA,NA,0,"53242 12956 7018 38040 9737","i"
"*","1.4.128.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 7018 38040 9737","i"
"*>","1.4.128.0","19","200.219.145.23",NA,NA,0,"53242 12956 7018 38040 9737","i"
"*","1.5.0.0","16","200.219.145.45",NA,NA,0,"28135 18881 3549 4725","i"
"*>","1.5.0.0","16","200.219.145.23",NA,NA,0,"53242 12956 4725","i"
"*","1.8.1.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 4641 38345","i"
"*","1.8.1.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 22388 7660 4641 38345","i"
"*>","1.8.1.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.8.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 4641 38345","i"
"*","1.8.8.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 22388 7660 4641 38345","i"
"*>","1.8.8.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.101.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.101.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.101.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 7497 38345","i"
"*","1.8.102.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 4641 38345","i"
"*","1.8.102.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 22388 7660 4641 38345","i"
"*>","1.8.102.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.103.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6453 38345","i"
"*>","1.8.103.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.8.104.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6453 38345","i"
"*>","1.8.104.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.8.150.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.150.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.150.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.151.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.151.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.151.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.152.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.152.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.152.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.8.153.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.153.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.153.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.8.238.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.238.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.238.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 7497 38345","i"
"*","1.8.239.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.239.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.239.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 7497 38345","i"
"*","1.8.240.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.240.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.240.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.241.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.241.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.241.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4641 38345","i"
"*","1.8.242.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.242.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.242.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.8.243.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 7497 38345","i"
"*","1.8.243.0","24","200.219.145.1",NA,NA,0,"1916 27750 11537 23911 4538 7497 38345","i"
"*>","1.8.243.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 38345","i"
"*","1.9.0.0","16","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.0.0","16","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","i"
"*","1.9.21.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6453 4788","i"
"*>","1.9.21.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","i"
"*","1.9.52.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.52.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.54.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.54.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.55.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.55.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.112.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.112.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.113.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.113.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.114.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.114.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.115.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.115.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.122.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.122.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.123.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.123.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.152.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.152.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.153.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.153.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.156.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.156.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.157.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.157.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.158.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.158.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.159.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.159.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.176.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.176.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.177.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.177.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.178.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.178.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.179.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.179.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.181.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.181.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.182.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.182.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.183.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.183.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.184.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.184.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.185.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.185.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.187.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.187.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.204.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.204.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.9.205.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4788","i"
"*>","1.9.205.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 4788","?"
"*","1.10.8.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 17408 58730","i"
"*>","1.10.8.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 9505 17408 58730","i"
"*","1.10.64.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.64.0","20","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.65.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.65.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.80.0","21","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.80.0","21","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.88.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.88.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.89.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.89.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.90.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 133741","i"
"*>","1.10.90.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 133741","i"
"*","1.10.128.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 38040 9737 23969","i"
"*>","1.10.128.0","22","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737 23969","i"
"*","1.10.132.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 38040 9737 23969","i"
"*>","1.10.132.0","22","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737 23969","i"
"*","1.10.136.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 38040 9737 23969","i"
"*>","1.10.136.0","22","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737 23969","i"
"*","1.10.192.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 1239 38040 9737","i"
"*>","1.10.192.0","19","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.10.224.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 38040 9737","i"
"*>","1.10.224.0","19","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737","i"
"*","1.10.224.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 174 38040 9737 23969","i"
"*>","1.10.224.0","20","200.219.145.23",NA,NA,0,"53242 12956 174 38040 9737 23969","i"
"*","1.11.0.0","21","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 15412 9848 38091 18313","i"
"*>","1.11.0.0","21","200.219.145.23",NA,NA,0,"53242 12956 2828 9318 38091 18313","i"
"*","1.11.8.0","21","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 15412 9848 38091 18313","i"
